sex,height,weight
2,1.70,70.3
1,1.68,70.3
1,1.73,102.1
2,1.60,72.6
2,1.73,132.5
2,1.63,127.0
1,1.80,81.7
2,1.63,81.7
1,1.55,90.7
2,1.57,64.4
1,1.75,76.2
2,1.55,115.2
2,1.55,81.7
2,1.63,57.6
1,1.70,85.3
2,1.63,79.8
2,1.50,61.7
1,1.75,109.8
1,1.70,81.7
1,1.83,93.0
1,1.78,87.1
2,1.68,62.6
1,1.78,95.3
2,1.65,95.3
1,1.80,81.7
1,1.83,86.2
2,1.70,77.1
2,1.65,83.9
2,1.60,54.4
2,1.63,96.6
2,1.68,68.0
1,1.80,85.3
2,1.65,54.4
1,1.88,89.8
2,1.55,67.1
1,1.88,136.1
1,1.75,113.4
1,1.83,72.6
1,1.83,90.7
1,1.70,86.2
2,1.80,69.9
1,1.70,72.6
2,1.57,54.4
2,1.63,61.2
2,1.57,52.2
2,1.63,66.2
2,1.65,56.7
1,1.88,72.6
2,1.70,62.6
2,1.68,74.8
1,1.98,99.8
1,1.83,79.4
2,1.60,54.4
1,1.85,113.4
1,1.78,120.2
2,1.73,83.9
2,1.68,56.7
1,1.75,83.9
1,1.83,124.7
1,1.68,113.4
2,1.65,131.1
1,1.73,81.7
2,1.65,111.1
2,1.70,70.3
2,1.65,61.2
1,1.83,72.6
1,1.83,106.6
1,1.83,95.3
2,1.63,59.0
2,1.63,79.4
2,1.63,61.2
2,1.70,78.0
2,1.65,82.6
1,1.78,77.1
2,1.63,79.4
2,1.60,108.9
2,1.57,61.7
2,1.68,81.7
2,1.70,113.4
1,1.83,83.9
2,1.70,59.9
1,1.85,89.4
2,1.63,61.2
2,1.68,90.7
1,1.68,63.5
2,1.75,70.3
1,1.83,90.7
2,1.68,68.0
1,1.83,81.7
1,1.78,90.7
2,1.63,55.3
2,1.60,54.4
1,1.83,88.5
2,1.55,59.0
1,1.80,102.1
2,1.63,108.9
1,1.80,79.4
2,1.52,79.4
2,1.73,68.0
2,1.70,69.0
2,1.60,49.9
1,1.78,81.7
1,1.75,83.9
1,1.83,86.2
2,1.57,40.8
1,1.98,167.8
2,1.57,81.2
1,1.80,97.5
1,1.83,106.6
1,1.70,68.0
2,1.55,62.6
1,1.75,70.8
1,1.96,94.8
1,1.83,97.5
2,1.55,72.6
2,1.68,74.8
1,1.70,68.0
2,1.68,86.2
1,1.73,74.8
2,1.63,69.0
2,1.73,77.1
1,1.70,76.2
2,1.60,65.8
2,1.68,62.1
1,1.80,124.7
2,1.63,61.2
2,1.63,70.3
1,1.78,94.4
2,1.63,52.6
1,1.78,95.3
2,1.70,70.3
2,1.45,82.6
2,1.68,90.7
2,1.57,90.7
2,1.65,69.4
2,1.57,58.1
2,1.63,117.9
2,1.60,58.1
2,1.73,68.0
1,1.75,70.3
2,1.60,59.0
2,1.55,73.5
2,1.65,69.0
1,1.83,81.7
2,1.65,70.3
2,1.60,54.4
2,1.60,60.3
2,1.63,68.0
2,1.78,90.7
1,1.68,59.0
1,1.68,88.9
1,1.73,91.6
1,1.83,83.9
1,1.75,71.7
2,1.60,58.5
1,1.85,122.5
2,1.70,104.3
2,1.65,59.9
2,1.55,69.0
2,1.60,63.5
2,1.60,56.7
2,1.52,39.0
2,1.65,65.8
2,1.63,61.2
1,1.73,68.0
2,1.68,104.3
1,1.78,97.5
1,1.75,72.6
1,1.70,85.7
2,1.65,80.7
2,1.63,68.0
1,1.73,95.3
1,1.85,94.4
2,1.68,88.5
1,1.91,90.7
2,1.65,83.9
2,1.60,81.7
1,1.65,70.3
1,1.75,72.6
1,1.75,129.3
1,1.73,77.1
2,1.60,58.5
2,1.68,67.1
2,1.63,68.0
1,1.75,88.5
1,1.73,109.8
1,1.73,88.5
1,1.83,79.4
2,1.57,56.7
2,1.70,77.1
2,1.63,63.5
2,1.47,59.0
1,1.80,113.4
2,1.75,85.3
2,1.63,90.7
2,1.57,56.7
1,1.78,77.1
1,1.70,79.4
1,1.73,94.8
2,1.55,82.6
2,1.73,74.8
2,1.70,113.4
1,1.91,120.2
2,1.55,81.7
1,1.78,77.1
2,1.57,102.1
2,1.70,90.7
2,1.68,58.1
1,1.78,91.2
2,1.60,63.5
1,1.78,127.0
2,1.63,77.1
2,1.57,71.2
1,1.65,93.0
2,1.60,68.0
1,1.80,104.3
2,1.68,72.6
2,1.73,78.0
1,1.73,56.3
2,1.75,65.8
1,1.70,82.6
2,1.65,108.9
1,1.85,110.2
1,1.85,77.1
2,1.63,74.8
2,1.65,93.9
2,1.65,65.3
2,1.65,72.6
2,1.60,61.2
2,1.63,70.3
2,1.68,58.1
2,1.63,64.9
1,1.93,145.2
1,1.65,68.0
2,1.52,63.5
2,1.68,102.1
1,1.80,88.5
1,1.75,93.0
2,1.70,81.7
2,1.52,85.7
2,1.70,61.2
1,1.73,89.8
1,1.93,104.3
2,1.52,57.6
2,1.78,99.8
1,1.63,90.7
1,1.75,102.1
1,1.91,90.7
2,1.68,86.2
2,1.55,56.7
1,1.83,136.1
1,1.78,81.7
2,1.73,68.0
2,1.68,63.5
1,1.75,98.4
2,1.68,77.1
1,1.83,77.1
2,1.73,68.0
2,1.52,51.3
1,1.73,86.2
1,1.78,97.5
1,1.78,90.7
2,1.55,97.5
2,1.63,60.3
1,1.75,113.9
2,1.63,76.2
2,1.63,59.0
2,1.65,74.4
2,1.65,62.1
2,1.60,59.0
2,1.50,61.7
2,1.60,61.2
1,1.83,99.8
2,1.52,65.8
2,1.57,77.1
1,1.88,86.2
2,1.70,70.3
